0	a
"There's another girl who I can't describe, she is about 5'6"" with brown hair, who eavesdrops on your conversation and chimes in - except she only hears the last part of what you said, so her uninvited opinions are often out of context and nothing to do with what you're *really* talking about. "	0
I'm a friendly person, so I wouldn't mind had she not been so nasty and gotten so personal. 	0
Again, I'd be super upset if that were my employee.	0
Considering you will spend at least $60 a head, I expect better service. 	0
So, if you're walking by and thinking about dining, you might want to see who's going to be seating you first...	0
"Maitre-D-""Eat and get out"""	0
The food and service were fine, however the maitre-D was incredibly unwelcoming and arrogant.	2
While finishing our meals which included a high-end bottle of wine, our son's fiance joined us for a glass of wine and dessert.	2
This guy refused to seat her and she left, followed shortly by the four of us, but not before I told him that in my 40 years of world travel, including Paris, that I had never seen such a display of bad behavior by a frontman in a restaurant.	0
His response was smug, arrogant, and condescending, totally consistent with his deportment on display all evening.	0
"A word to the wise: you can't dine here and disturb the maitre-D's sense of "" table turnover"", as whacked as it is, or else."	0
If you go here, do it on his off-night.	0
Best meal in a long time!	2
Mussles and calamari were superb Saturday evening.	2
I had the Lamb special which was perfect.	2
My father had the flank steak which was very good, and my mother had the swordfish.	2
The Four Seasons restaurant is a great experience.	2
The food is great and the environment is even better.	2
Everyone must come here at least once.	2
Highly recommend it!	2
Taking Hot Dogs to the next level	2
At first glance this place seems a bit pricey for a hot dog joint, but at Bark you don't just get your average hot dog.	0
Here the hot dog is elevated to the level of a real entree with numerous variations available.	2
Great Atmosphere	2
I highly recommend the fish tacos, everything else was ok.	2
Cool atmosphere, the fire place in the back really ads to it but needs a bit more heat throughout on a cold night.	2
Poor service and management	0
Don’t go to this place!	0
Had an awful experience at Casa la Femme on a Saturday dinner.	0
Appetizers took nearly an hour.	0
When the main course finally arrived (another 45mins) half of our order was missing.	0
Never got an explanation as to what was going on.	0
The manager was rude and handled the situation extremely poorly.	0
When we threatened to leave, we were offered a meager discount even though half the order was missing.	0
On the way out, we heard of other guests complaining about similar issues.	0
Can’t believe how an expensive NYC restaurant can be so disrespectful to its clients.	0
What a hassle!	0
The food is very good, but not outstanding.	1
There is no way it justifies the accolades it receives, the attitude of the staff or the wait for a table.	0
On our last visit, they skipped over our name on the list, leaving us waiting an extra hour for a table.	0
Mistakes happen, but they are usually accompanied by an apology, perhaps even a glass of wine...but not the grunt that we received from the Al Di La staff.	0
Expensive	0
The bread was stale, the salad was overpriced and empty.	0
The pasta was well cooked, didn't have enough sauce though or flavor.	2
So rude!!!	0
I was one of the people that went for this horrible experience.	0
The hostess was rude and I got a distinct feeling that they did not want to serve us.	0
The only thing that my friend left out is that when we sat down at the bar the bartender disappeared.	0
I asked for a menu and the same waitress looked at my like I was insane.	0
"I was shocked that my friends wanted to stay after the waitress said, ""can I help you"" and ""how many are in your party."""	0
The three of us standing in front of her should have been an indication of how many of us there were.	0
We didn't look like the other patrons in there so unfortunately I think that may have been part of the problem.	0
Shame on this place for the horrible rude staff and non-existent customer service.	0
bad staff	0
I generally like this place.	2
The food is good.	2
The design of the space is good.	2
But the service is HORRID!	0
I was there for brunch recently, and we were tag teamed by a waitress and a waiter.	0
The waiter delivered our food while holding what appeared to be a plastic bag of garbage in one hand.	0
I can't believe that it was, but please put the bag down before delivering food!	0
The waitress came to check in on us every few minutes, and began to clear the plates while half of us were still eating (a big pet peeve of mine that happens almost everywhere, so I try to ignore it).	0
I couldn't ignore the fact that she reach over the plate of one of my friends, who was in mid bite, to clear the table.	0
She then put the check down without asking if we were done, and came to check on the bill every two minutes, even though we were one of three occupied tables.	0
I wish I could like this place more, and I wish someone would retrain the staff.	0
